,sentence,slot,intent,label
427,is it supposed to gt colder in or,O O O O O B-condition_temperature O B-state,GetWeather,2
428,what amc theaters is the red dance playing at,O B-location_name I-location_name O B-movie_name I-movie_name I-movie_name O O,SearchScreeningEvent,6
429,give 1 out of 6 to west of january,O B-rating_value O O B-best_rating O B-object_name I-object_name I-object_name,RateBook,4
430,show me the a-myin-thit tv series,O O O B-object_name B-object_type I-object_type,SearchCreativeWork,5
431,is cape mount nature conservation unit has storm weather,O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi O B-condition_description O,GetWeather,2
432,tell me if it ll be chilly 1 second from now here,O O O O O O B-condition_temperature B-timeRange I-timeRange I-timeRange I-timeRange B-current_location,GetWeather,2
433,can you play some eighties music,O O O O B-year O,PlayMusic,3
434,add the wee wee man to pamela s stress relief playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist,0
435,i m looking for a novel called and then there was light,O O O O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
436,rate this textbook a one,O B-object_select B-object_type O B-rating_value,RateBook,4
437,add the avispa track to my bass gaming playlist,O O B-artist B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,0
438,add tune to cleaning the house,O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist,0
439,rate the current novel a two,O O B-object_select B-object_type O B-rating_value,RateBook,4
440,please add this song to madden nfl 16,O O O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist,0
441,for the book icon of evil i rate a 2,O O B-object_type B-object_name I-object_name I-object_name O O O B-rating_value,RateBook,4
442,play a top symphony sort form 1959 by stuart garrard,O O B-sort B-music_item O O B-year O B-artist I-artist,PlayMusic,3
443,what time will the movie house be showing on the beat,O O O O B-object_location_type I-object_location_type O O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
444,i need a diner,O O O B-restaurant_type,BookRestaurant,1
445,what is the weather forecast for wolin national park three seconds from now,O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather,2
446,i wish to listen to good symphony music by mi lu bing,O O O O O B-sort B-music_item O O B-artist I-artist I-artist,PlayMusic,3
447,can i get the listings for the film at the nearest movie theatre,O O O O O O O B-movie_type O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,6
448,how cold is it in princeton junction,O B-condition_temperature O O O B-city I-city,GetWeather,2
449,add this artist to my jazz playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist,0
450,will it get warmer in holy cross wilderness,O O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi,GetWeather,2
451,i d like to watch army at wanda group,O O O O O B-movie_name O B-location_name I-location_name,SearchScreeningEvent,6
452,please find me chance pe dance,O O O B-object_name I-object_name I-object_name,SearchCreativeWork,5
453,rate the rats chronicle 5 of 6,O B-object_name I-object_name B-object_part_of_series_type B-rating_value O B-best_rating,RateBook,4
454,book a table for four in orchard grass hills nv,O O O O B-party_size_number O B-city I-city I-city B-state,BookRestaurant,1
455,i am giving this current essay zero out of 6 stars,O O O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook,4
456,show me movies in the area,O O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,6
457,find do you wanna touch me a song,O B-object_name I-object_name I-object_name I-object_name I-object_name O B-object_type,SearchCreativeWork,5
458,i want to give this essay zero out of 6,O O O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook,4
459,add dahmer to hiphop hot 50,O B-entity_name O B-playlist I-playlist I-playlist,AddToPlaylist,0
460,rate the demolished man a five,O B-object_name I-object_name I-object_name O B-rating_value,RateBook,4
461,add angela au to the playlist radar latino,O B-artist I-artist O O O B-playlist I-playlist,AddToPlaylist,0
462,find a feather in her hat at magic johnson theatres,O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O B-location_name I-location_name I-location_name,SearchScreeningEvent,6
463,i would like to book a puglia food court in ky,O O O O O O B-cuisine B-restaurant_type I-restaurant_type O B-state,BookRestaurant,1
464,what is the forecast at four am in zambia,O O O O O B-timeRange I-timeRange O B-country,GetWeather,2
465,i want lance king in my list called one love,O O B-artist I-artist O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,0
466,when can i catch a screening of shivers in summer,O O O O O O O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
467,add chris de burgh in my playlist melancholia,O B-artist I-artist I-artist O B-playlist_owner O B-playlist,AddToPlaylist,0
468,what is the weather at the current position,O O O O O O B-current_location I-current_location,GetWeather,2
469,is it going to be warmer in central cebu protected landscape,O O O O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather,2
470,add troy andrews to my pop punk powerhouses,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist,0
471,add a tune to rare groove,O O B-music_item O B-playlist I-playlist,AddToPlaylist,0
472,play my melodious playlist,O O B-playlist O,PlayMusic,3
473,find a movie theatre with rogues and romance that is nearest,O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name O O B-spatial_relation,SearchScreeningEvent,6
474,find the stone free game,O O B-object_name I-object_name B-object_type,SearchCreativeWork,5
475,can i get todays movie schedule for the movies that are close by,O O O O B-object_type I-object_type O O B-movie_type O O B-spatial_relation I-spatial_relation,SearchScreeningEvent,6
476,i d like a table for 10 at a distant place downtown for next fall,O O O O O O B-party_size_number O O B-spatial_relation O B-poi O B-timeRange I-timeRange,BookRestaurant,1
477,show me the song spiderman of the rings,O O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
478,play some showtunes music,O O B-genre O,PlayMusic,3
479,play alles heeft ritme by liu tianhua,O B-track I-track I-track O B-artist I-artist,PlayMusic,3
480,in one hundred twenty seven days i d like to eat at a pizzeria in north lima,B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O O O O O O O B-restaurant_type O B-city I-city,BookRestaurant,1
481,give the resistance 2 out of 6 stars,O B-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook,4
482,give 0 out of 6 stars to reality of certainty,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name,RateBook,4
483,is it going to be rainy in kings valley kosovo next mon,O O O O O B-condition_description O B-city I-city B-country B-timeRange I-timeRange,GetWeather,2
484,is it chilly in ecola state park at 2 pm,O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi O B-timeRange I-timeRange,GetWeather,2
485,what s the forecast for gamaliel,O O O O O B-city,GetWeather,2
486,book a restaurant in fort gates fl,O O B-restaurant_type O B-city I-city B-state,BookRestaurant,1
487,play dave mason s soundtrack on last fm,O B-artist I-artist O B-music_item O B-service I-service,PlayMusic,3
488,book a restaurant for me and rosemary at 1 am,O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange,BookRestaurant,1
489,rate this current novel one points,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook,4
490,please get me the welcome to the rileys game,O O O O B-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork,5
491,play me the greatest track of 1966,O O O B-sort B-music_item O B-year,PlayMusic,3
492,add sam moran music to my tgif playlist,O B-artist I-artist O O B-playlist_owner B-playlist O,AddToPlaylist,0
493,find movie schedules,O B-object_type I-object_type,SearchScreeningEvent,6
494,find a photograph called xquery api for java,O O B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
495,can i hear a da brat ep,O O O O B-artist I-artist B-music_item,PlayMusic,3
496,find the schedule for the closest films at a cinema at meal time,O O B-object_type O O B-spatial_relation B-movie_type O O B-object_location_type O B-timeRange O,SearchScreeningEvent,6
497,move this tune by hironobu kageyama to my baila reggaeton playlist,O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,0
498,book a highly rated fast food restaurant in falmouth,O O B-sort I-sort B-restaurant_type I-restaurant_type I-restaurant_type O B-city,BookRestaurant,1
499,give the current album a score of five out of 6,O O B-object_select B-object_type O O O B-rating_value O O B-best_rating,RateBook,4
500,add billy strayhorn to my highway 61 playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,0
501,show movies in the neighborhood,O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,6
502,i d like a table for 6 at a restaurant in denmark at 22,O O O O O O B-party_size_number O O B-restaurant_type O B-country O B-timeRange,BookRestaurant,1
503,give the televised morality series a one,O O B-object_name I-object_name B-object_part_of_series_type O B-rating_value,RateBook,4
504,add munia the tale to my playlist called adrenaline workout,O B-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,0
505,will it be foggy in the same area of parc provincial kettle lakes on february the thirteenth 2018,O O O B-condition_description B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi O B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather,2
506,please add checkmate to my irish folk – jigs & reels playlist,O O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,0
507,play the lure of the mask song,O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork,5
508,i rate this novel 2 of 6 points,O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit,RateBook,4
509,let me listen to the music of nature album by paul draper,O O O O B-album I-album I-album I-album B-music_item O B-artist I-artist,PlayMusic,3
510,what s the weather in koontz lake,O O O O O B-city I-city,GetWeather,2
511,find the schedule for the tooth will out at sunrise,O O B-object_type O B-movie_name I-movie_name I-movie_name I-movie_name O B-timeRange,SearchScreeningEvent,6
512,i d like to watch three word brand at the cinema,O O O O O B-movie_name I-movie_name I-movie_name O O B-object_location_type,SearchScreeningEvent,6
513,find movie schedules for nearby films,O B-object_type I-object_type O B-spatial_relation B-movie_type,SearchScreeningEvent,6
514,what time do the movies play at southern theatres,O O O O B-movie_type O O B-location_name I-location_name,SearchScreeningEvent,6
515,play the soundtrack that tom bellamy contributed to,O O B-music_item O B-artist I-artist O O,PlayMusic,3
516,i want a table for four at a place in california,O O O O O B-party_size_number O O O O B-state,BookRestaurant,1
517,0 stars for this textbook,B-rating_value B-rating_unit O B-object_select B-object_type,RateBook,4
518,play a song from 1990 on netflix,O O B-music_item O B-year O B-service,PlayMusic,3
519,rate the chronicle following a 4,O O B-object_part_of_series_type B-object_select O B-rating_value,RateBook,4
520,play in your eyes by gareth gates on netflix,O B-track I-track I-track O B-artist I-artist O B-service,PlayMusic,3
521,i would give this novel a rating of two,O O O B-object_select B-object_type O O O B-rating_value,RateBook,4
522,i need a restaurant that has internet access for a party of six,O O O B-restaurant_type O O B-facility O O O O O B-party_size_number,BookRestaurant,1
523,add this tune to the heavy gamer playlist,O O B-music_item O O B-playlist I-playlist O,AddToPlaylist,0
524,play music from 1960,O O O B-year,PlayMusic,3
525,what movies are playing at regal entertainment group,O B-movie_type O O O B-location_name I-location_name I-location_name,SearchScreeningEvent,6
526,play fill yourself with music by ray manzarek,O B-album I-album I-album I-album O B-artist I-artist,PlayMusic,3
527,the current book i m reading is only worthy of a 3,O B-object_select B-object_type O O O O O O O O B-rating_value,RateBook,4
528,book a table for ten people in eucalyptus hills,O O O O B-party_size_number O O B-city I-city,BookRestaurant,1
529,the boring peace on earth gets a two out of 6,O O B-object_name I-object_name I-object_name O O B-rating_value O O B-best_rating,RateBook,4
530,show me schedules to see a film with me in it,O O B-object_type O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
531,is it forecast to be chilly in iowa,O O O O O B-condition_temperature O B-state,GetWeather,2
532,i want to see the trailer amor puro,O O O O O B-object_type B-object_name I-object_name,SearchCreativeWork,5
533,show creative photograph named none of the above,O O B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
534,please book a coffeehouse restaurant type room to accommodate gretchen trisha and amber which serves pastelaria dish,O O O B-restaurant_type I-restaurant_type O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-cuisine O,BookRestaurant,1
535,book a restaurant at tennessee,O O B-restaurant_type O B-state,BookRestaurant,1
536,find movies around here with movie schedules,O B-movie_type B-spatial_relation I-spatial_relation O B-object_type I-object_type,SearchScreeningEvent,6
537,i want to hear a track from the fourties,O O O O O B-music_item O O B-year,PlayMusic,3
538,book me top-rated restaurant for 9 members for midnight at fair bluff ri,O O B-sort B-restaurant_type O B-party_size_number O O B-timeRange O B-city I-city B-state,BookRestaurant,1
539,find the trailer for seven year itch,O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork,5
540,i want to find a salami restaurant in bastian in,O O O O O B-served_dish B-restaurant_type O B-city B-state,BookRestaurant,1
541,make me a reservation in tn somewhere nearby for a party of 4,O O O O O B-state O B-spatial_relation O O O O B-party_size_number,BookRestaurant,1
542,i would give dead man falling 5 points and a best rating of 6,O O O B-object_name I-object_name I-object_name B-rating_value B-rating_unit O O O O O B-best_rating,RateBook,4
543,play a trailer for sencha touch,O O B-object_type O B-object_name I-object_name,SearchCreativeWork,5
544,find the movie times at consolidated theatres,O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,6
545,book a table for 2 in gleed,O O O O B-party_size_number O B-city,BookRestaurant,1
546,find movie times,O B-object_type I-object_type,SearchScreeningEvent,6
547,can i get the showtimes for the man who could talk to kids,O O O O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
548,what time does tie a yellow ribbon play at magic johnson theatres,O O O B-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name I-location_name,SearchScreeningEvent,6
549,i need a table at somewhere within walking distance of nv on november the 24th 2027,O O O O O O B-spatial_relation I-spatial_relation I-spatial_relation O B-state O B-timeRange I-timeRange I-timeRange I-timeRange,BookRestaurant,1
550,add mg the visionary to my dubstep playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist O,AddToPlaylist,0
551,give one out of 6 stars to free market fairness,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name,RateBook,4
552,i want to book a meal at a restaurant that searves kouglof,O O O O O B-timeRange O O B-restaurant_type O O B-served_dish,BookRestaurant,1
553,i d like seats for five at a place in verden right now,O O O O O B-party_size_number O O O O B-city O B-timeRange,BookRestaurant,1
554,when is for lovers only playing,O O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent,6
555,rate this essay 5 of 6,O B-object_select B-object_type B-rating_value O B-best_rating,RateBook,4
556,will there be cloud action in saint bernard virgin islands,O O O B-condition_description O O B-city I-city B-state I-state,GetWeather,2
557,when is beyond my reach scheduled at the nearest cinema,O O B-movie_name I-movie_name I-movie_name O O O B-spatial_relation B-object_location_type,SearchScreeningEvent,6
558,i d like to eat a restaurant in or nearby pelahatchie at 12 o clock,O O O O O O B-restaurant_type O O B-spatial_relation B-city O B-timeRange I-timeRange I-timeRange,BookRestaurant,1
559,play the wizard and i on zvooq,O B-track I-track I-track I-track O B-service,PlayMusic,3
560,add connee boswell to the relaxing playlist,O B-artist I-artist O O B-playlist O,AddToPlaylist,0
561,book a table for 3 far from tullytown at a coffeehouse with a smoking room,O O O O B-party_size_number B-spatial_relation O B-poi O O B-restaurant_type O O B-facility I-facility,BookRestaurant,1
562,book midday at a faraway cuban place for five at a top-rated bakery in grainola,O B-timeRange O O B-spatial_relation B-cuisine O O B-party_size_number O O B-sort B-restaurant_type O B-city,BookRestaurant,1
563,forecast in layhigh,O O B-city,GetWeather,2
564,play music from carina round,O O O B-artist I-artist,PlayMusic,3
565,add this track to my party playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist,0
566,me and my niece want to eat somewhere close by hopatcong,B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-spatial_relation I-spatial_relation B-poi,BookRestaurant,1
567,will it be chillier in suwannee,O O O B-condition_temperature O B-city,GetWeather,2
568,what is the weather forecast for my current position,O O O O O O O B-current_location I-current_location,GetWeather,2
569,play me a song from 1968 on spotify,O O O B-music_item O B-year O B-service,PlayMusic,3
570,add run rudolph run to my rockin playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist O,AddToPlaylist,0
571,rate the starship trap 5 stars,O B-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook,4
572,for the playlist this is mozart add nana mizuki live fighter -blue x red side-,O O O B-playlist I-playlist I-playlist O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist,0
573,i would like ignacio figueredo s tune added to electronow,O O O B-artist I-artist O B-music_item O O B-playlist,AddToPlaylist,0
574,please provide me with movie schedules,O O O O B-object_type I-object_type,SearchScreeningEvent,6
575,find the song titled the rivalry: red v blue,O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
576,add jason webley to classical intimate dinner playlist,O B-artist I-artist O B-playlist I-playlist I-playlist O,AddToPlaylist,0
577,add album to my classical essentials playlist,O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,0
578,i need the movie schedules for century theatres,O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,6
579,find a tale of two cities a painting,O B-object_name I-object_name I-object_name I-object_name I-object_name O B-object_type,SearchCreativeWork,5
580,i need to reserve a seat for one in sd at a brasserie restaurant,O O O O O O O B-party_size_number O B-state O O B-restaurant_type I-restaurant_type,BookRestaurant,1
581,use the service lastfm to play music by the artist ai kago,O O O B-service O O O O O O B-artist I-artist,PlayMusic,3
582,find switching channels,O B-object_name I-object_name,SearchCreativeWork,5
583,which movies are playing at amc theaters,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,6
584,rate this essay zero out of 6,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook,4
585,find bal ganesh 2 a video game,O B-object_name I-object_name I-object_name O B-object_type I-object_type,SearchCreativeWork,5
586,add teriazume to the nação reggae playlist,O B-entity_name O O B-playlist I-playlist O,AddToPlaylist,0
587,rate this book titled the clue in the old album one out of 6 stars,O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook,4
588,what s the weather for this year in oregon,O O O O O B-timeRange I-timeRange O B-state,GetWeather,2
589,rate the book the devil in velvet 4 out of 6 points,O O B-object_type B-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook,4
590,i d give the cricket in times square 3 stars,O O O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value B-rating_unit,RateBook,4
591,find the endangered species song,O O B-object_name I-object_name B-object_type,SearchCreativeWork,5
592,rate this album a one,O B-object_select B-object_type O B-rating_value,RateBook,4
593,show the day the earth caught fire movie,O O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork,5
594,the current series deserves three stars,O B-object_select B-object_part_of_series_type O B-rating_value B-rating_unit,RateBook,4
595,book reservations not far from our neighborhood for a party of 2,O O B-spatial_relation I-spatial_relation O O B-poi O O O O B-party_size_number,BookRestaurant,1
596,add the track bg knocc out to the rapcaviar playlist,O O B-music_item B-artist I-artist I-artist O O B-playlist O,AddToPlaylist,0
597,what s the weather looking like right now in croatia,O O O O O O O B-timeRange O B-country,GetWeather,2
598,contemporary religious satanism gets a 3 rating,B-object_name I-object_name I-object_name O O B-rating_value O,RateBook,4
599,let s hear some tunes from the thirties,O O O O O O O B-year,PlayMusic,3
600,list films in the neighborhood,O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,6
601,i want to put a copy of this tune into skatepark punks,O O O O O O O O B-music_item O B-playlist I-playlist,AddToPlaylist,0
602,find a soundtrack for meditations,O O B-object_type O B-object_name,SearchCreativeWork,5
603,i d like to watch glass chin at the movie house at 17:32:30,O O O O O B-movie_name I-movie_name O O B-object_location_type I-object_location_type O B-timeRange,SearchScreeningEvent,6
604,book close-by for 1 in south dakota,O B-spatial_relation O B-party_size_number O B-state I-state,BookRestaurant,1
605,can you play a song by ken,O O O O B-music_item O B-artist,PlayMusic,3
606,is there any creative work for heterocycles,O O O O O O B-object_name,SearchCreativeWork,5
607,what films are at the nearest movie theatre,O B-movie_type O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,6
608,add track nature noise to my playlist,O B-music_item B-playlist I-playlist O B-playlist_owner O,AddToPlaylist,0
609,there s a famous painting called thursday do you have an image of it,O O O O B-object_type O B-object_name O O O O O O O,SearchCreativeWork,5
610,add steve winwood to my playlist old school metal,O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,0
611,what s the weather like in kaltag,O O O O O O B-city,GetWeather,2
612,add teddy boy to my irish folk – jigs & reels playlist,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,0
613,play me the most popular peja song on slacker,O O O B-sort I-sort B-artist B-music_item O B-service,PlayMusic,3
614,is it going to be chilly at nine am in doolittle,O O O O O B-condition_temperature O B-timeRange I-timeRange O B-city,GetWeather,2
615,will it be hotter netherlands antilles flats on april the 27th,O O O B-condition_temperature B-country I-country B-city O B-timeRange I-timeRange I-timeRange,GetWeather,2
616,i want to rate hostile waters chronicle book with five out of 6,O O O O B-object_name I-object_name B-object_part_of_series_type B-object_type O B-rating_value O O B-best_rating,RateBook,4
617,play a 1999 track by pete seeger on youtube,O O B-year B-music_item O B-artist I-artist O B-service,PlayMusic,3
618,what s the weather in twenty five days in hagerman national wildlife refuge,O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather,2
619,play theme music from the twenties by tata young,O B-music_item O O O B-year O B-artist I-artist,PlayMusic,3
620,where is the closest cinema playing good night good morning,O O O B-spatial_relation B-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
621,what s the weather going to be like here at ten am,O O O O O O O O B-current_location O B-timeRange I-timeRange,GetWeather,2
622,find as live as it gets,O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
623,will it be freezing 5 seconds from now in patmos,O O O B-condition_temperature B-timeRange I-timeRange I-timeRange I-timeRange O B-city,GetWeather,2
624,rate the current book 0 stars,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook,4
625,will it be freezing in 5 weeks from now in nh,O O O B-condition_temperature O B-timeRange I-timeRange I-timeRange I-timeRange O B-state,GetWeather,2
626,add nana tanimura to a sudden rainstorm,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist,0
627,what s the closest movie house showing night in may,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,6
628,what time is 26 years diary showing in the movie house,O O O B-movie_name I-movie_name I-movie_name O O O B-object_location_type I-object_location_type,SearchScreeningEvent,6
629,add cj snare to my indie mim playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,0
630,add already over pt 2 to hip hop 2017 new school,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,0
631,give the current album a four,O O B-object_select B-object_type O B-rating_value,RateBook,4
632,play jeff pilson on youtube,O B-artist I-artist O B-service,PlayMusic,3
633,what is the weather like right now for fort adams,O O O O O O B-timeRange O B-city I-city,GetWeather,2
634,find a cinema nearest with sulle sathya,O O B-object_location_type B-spatial_relation O B-movie_name I-movie_name,SearchScreeningEvent,6
635,book a restaurant in palestine for 8 people at 9 am,O O B-restaurant_type O B-country O B-party_size_number O O B-timeRange I-timeRange,BookRestaurant,1
636,how will the weather be five weeks from now in moneta,O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-city,GetWeather,2
637,what animated movies are there nearby,O B-movie_type I-movie_type O O B-spatial_relation,SearchScreeningEvent,6
638,1 minute from now i will need reservations at a restaurant in vanlue,B-timeRange I-timeRange I-timeRange I-timeRange O O O O O O B-restaurant_type O B-city,BookRestaurant,1
639,what will the weather be like at ten am in austria,O O O O O O O B-timeRange I-timeRange O B-country,GetWeather,2
640,i give the spirit of st louis a 1,O O B-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook,4
641,add party with friends by constructs of the state to juliana s playlist,O B-playlist I-playlist I-playlist O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner I-playlist_owner O,AddToPlaylist,0
642,list movie schedules at showcase cinemas,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,6
643,the current novel i m reading gets only a one out of 6,O B-object_select B-object_type O O O O O O B-rating_value O O B-best_rating,RateBook,4
644,play a chant by marina verenikina,O O B-music_item O B-artist I-artist,PlayMusic,3
645,add hot house to have you met miss jones,O B-playlist I-playlist O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist,0
646,play a song from 1973,O O B-music_item O B-year,PlayMusic,3
647,i want to give the current novel 5 out of 6 points,O O O O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook,4
648,play new track from the fifties,O B-sort B-music_item O O B-year,PlayMusic,3
649,i give the previous series four stars,O O O B-object_select B-object_part_of_series_type B-rating_value B-rating_unit,RateBook,4
650,book a latin cuisine pub for 2 on september the 13th 2037 in kazakhstan,O O B-cuisine O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-country,BookRestaurant,1
651,add an album to my playlist bachata lovers,O O B-music_item O B-playlist_owner O B-playlist I-playlist,AddToPlaylist,0
652,find an album called from the terrace,O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork,5
653,book a spot for me and my sister at a restaurant that has clafoutis,O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-served_dish,BookRestaurant,1
654,give the current novel four points,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook,4
655,warriors of legend gets a 3 out of 6,B-object_name I-object_name I-object_name O O B-rating_value O O B-best_rating,RateBook,4
656,i wish to give this textbook a zero out of 6 points,O O O O B-object_select B-object_type O B-rating_value O O B-best_rating B-rating_unit,RateBook,4
657,would like to find the trailer for an experiment with time,O O O O O B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
658,book a restautant in north dakota at a bistro that is indoor,O O O O B-state I-state O O B-restaurant_type O O B-facility,BookRestaurant,1
659,what is the movie schedule for the cooper foundation,O O O B-object_type I-object_type O O B-location_name I-location_name,SearchScreeningEvent,6
660,is it going to be cold once i get within walking distance of my home in new caledonia,O O O O O B-condition_temperature O O O B-spatial_relation I-spatial_relation I-spatial_relation O O O O B-country I-country,GetWeather,2
661,find a tv show called ride the wind,O O B-object_type I-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork,5
662,tell me if it ll be freezing 333 days from now in caplinger mills florida,O O O O O O B-condition_temperature B-timeRange I-timeRange I-timeRange I-timeRange O B-city I-city B-state,GetWeather,2
663,play a karin dreijer andersson soundtrack on groove shark,O O B-artist I-artist I-artist B-music_item O B-service I-service,PlayMusic,3
664,add buddy tate to just dance by aftercluv list,O B-artist I-artist O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,0
665,i want to listen to the song first time for everything,O O O O O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork,5
666,play the track siberian khatru on zvooq,O O B-music_item B-track I-track O B-service,PlayMusic,3
667,i want the turbonegro album to go on the playlist called genuine r&b,O O O B-artist B-music_item O O O O O O B-playlist I-playlist,AddToPlaylist,0
